Name,Longitude,Latitude,postcode,Local authority
Balmedie Covid-19,-2.08863,57.2492329,AB23 8WS,Aberdeenshire
My Turriff,-2.4623,57.538932,AB53 4AX,Aberdeenshire
Belhelvie Community Covid-19 Response,-2.073745,57.257152,AB23 8YR,Aberdeenshire
Kemnay Parish Church,-2.4457149,57.232193,AB51 5PZ,Aberdeenshire
Fyvie resistance group,-2.3889999,57.429806,AB53 8LQ,Aberdeenshire
Aberdeenshire Mutual Aid,-2.3815684,57.28687230000001,AB51 4RP,Aberdeenshire
Dunecht Estates COVID-19 Helpers,-2.3815684,57.28687230000001,AB51 4RP,Aberdeenshire
Lend a hand Kintore,-2.346088,57.233247,AB51 0FE,Aberdeenshire
Portsoy Area Action Team,-2.688412,57.681023,AB45 2RA,Aberdeenshire
Portsoy Area Action Team,-2.688412,57.681023,AB45 2RA,Aberdeenshire
Covid 19 mutual aid Mintlaw,-2.001277,57.524395,AB42 5EL,Aberdeenshire
Crichie Cares,-2.0446159,57.5025309,AB42 5HP,Aberdeenshire
New Byth Community and Playing Field Association,-2.299182,57.57871000000001,AB53 5XE,Aberdeenshire
Mutual Aid Support Lumsden,-2.8746154,57.2875449,AB54 4JF,Aberdeenshire
Logie Coldstone Trust,-2.933118,57.127508,AB34 4YJ,Aberdeenshire
Oldmeldrum Together,-2.321806,57.33513800000001,AB51 0DS,Aberdeenshire
"Tarves, Barthol Chapel & Haddo Coronavirus Community Support",-2.22094,57.37076500000001,AB41 7GX,Aberdeenshire
Huntly Helpers,-2.7878058,57.445936,AB54 8JU,Aberdeenshire
