Name,Latitude,Longitude,Postcode,IntermediateZone2011Code
Action Porty,55.94546104,-3.10137681,EH15 2QS,S02001631
Balerno Village Trust,55.88376687,-3.33888762,EH14 7EH,S02001576
Blackhall Community Trust,55.95256002,-3.2411978,EH4 3JY,S02001662
Bridgend Farmhouse,55.92750225,-3.15595521,EH16 4TE,S02001627
Edinburgh Old Town Development Trust,55.95092104,-3.18405372,EH8 8BE,S02001622
Kirknewton Community Development Trust Ltd,55.95614012,-3.18980287,EH1 3HP,S02001622
Out of the Blue Arts and Education Trust,55.96459508,-3.17391414,EH6 8RG,S02001645
Pentlands Community Space,55.90901879,-3.28386282,EH14 3EH,S02001579
WHALE Arts Agency,55.91356159,-3.28854077,EH14 2SA,S02001583
West Granton Community Trust,55.97576005,-3.24392793,EH4 4GA,S02001670
