Local authority,SIMD decile,Female life expectancy,Male life expectancy,Number of businesses,Number of charities,Number of community spaces,Number of MAOs,Number of development trusts,Businesses per 1000 people,Charities per 1000 people,Community spaces per 1000 people,MAOs per 100k people,I could rely on someone in my neighbourhood to help me (%),Development trusts per 100k people
Aberdeen City,7,81.4,77,11140,354,86,1.0,2.0,48,1,0.4,0.4,71.5,0.9
Aberdeenshire,7,82.52,79,15355,1004,162,18.0,13.0,58,3,0.6,6.9,88.3,5.0
Angus,6,82.26,78,4640,390,63,5.0,1.0,40,3,0.5,4.3,79.0,0.9
Argyll and Bute,6,81.69,78,4820,636,105,4.0,33.0,56,7,1.2,4.7,92.2,38.6
City of Edinburgh,7,82.5,78,23875,1025,158,33.0,10.0,45,1,0.3,6.3,82.0,1.9
Clackmannanshire,5,80.7,77,1360,124,46,1.0,4.0,26,2,0.9,1.9,85.1,7.8
Dumfries and Galloway,5,81.44,78,7550,671,128,21.0,20.0,50,4,0.9,14.2,90.7,13.5
Dundee City,4,79.48,74,4830,247,70,2.0,0.0,32,1,0.5,1.3,83.1,0.0
East Ayrshire,4,79.81,76,4080,228,63,6.0,8.0,33,1,0.5,4.9,75.3,6.6
East Dunbartonshire,7,83.65,81,3415,160,43,3.0,4.0,31,1,0.4,2.8,88.3,3.7
East Lothian,6,82.72,79,3745,299,71,8.0,1.0,34,2,0.7,7.4,88.3,0.9
East Renfrewshire,8,83.96,80,3050,137,48,8.0,2.0,31,1,0.5,8.3,93.0,2.1
Falkirk,5,80.46,77,4710,213,68,5.0,0.0,29,1,0.4,3.1,91.4,0.0
Fife,6,81.15,77,11890,936,209,19.0,16.0,31,2,0.6,5.1,87.9,4.3
Glasgow City,4,78.5,74,25730,915,205,22.0,20.0,40,1,0.3,3.5,81.7,3.1
Highland,6,81.91,78,13790,1392,145,19.0,55.0,58,5,0.6,8.1,88.1,23.4
Inverclyde,4,79.01,75,2060,141,57,1.0,1.0,26,1,0.7,1.3,93.0,1.3
Midlothian,5,81.5,78,2995,207,97,3.0,5.0,32,2,1.0,3.2,85.1,5.4
Moray,6,81.47,79,4055,365,80,10.0,11.0,42,3,0.8,10.4,91.2,11.5
Na h-Eileanan Siar,5,83.39,78,1505,268,48,0.0,14.0,56,10,1.8,0.0,92.1,52.8
North Ayrshire,4,79.98,76,4160,273,77,12.0,4.0,30,2,0.6,8.9,85.4,3.0
North Lanarkshire,4,79.6,75,10170,377,112,4.0,4.0,29,1,0.3,1.2,88.6,1.2
Orkney Islands,6,82.26,79,1740,226,26,1.0,8.0,77,10,1.2,4.5,92.8,35.7
Perth and Kinross,7,83.26,79,7275,558,63,10.0,12.0,47,3,0.4,6.6,91.5,7.9
Renfrewshire,5,80.7,76,6235,246,82,8.0,6.0,34,1,0.5,4.5,89.2,3.3
Scottish Borders,6,81.93,79,5980,609,113,11.0,14.0,51,5,1.0,9.5,90.7,12.1
Shetland Islands,6,83.21,80,1890,239,74,1.0,4.0,82,10,3.2,4.4,95.6,17.5
South Ayrshire,5,81.64,77,4455,230,55,0.0,5.0,39,2,0.5,0.0,48.0,4.5
South Lanarkshire,5,81.06,77,11245,438,132,11.0,6.0,35,1,0.4,3.4,90.4,1.9
Stirling,6,82.56,78,4805,288,53,14.0,14.0,51,3,0.6,14.9,91.6,14.9
West Dunbartonshire,4,79.21,75,2570,145,36,0.0,4.0,29,1,0.4,0.0,85.0,4.5
West Lothian,6,80.97,78,5955,338,82,0.0,7.0,32,1,0.4,0.0,89.9,3.8
